2021-06-29 05:06:239 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 05:06:793 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 05:06:07 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 05:06:195 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 05:06:821 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 06:06:230 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 06:06:922 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 06:06:586 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 06:06:863 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 06:06:903 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 06:06:115 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 07:06:289 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 10:06:912 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 10:06:975 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 10:06:476 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 10:06:916 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 10:06:647 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 10:06:319 INFO  LoginPage :38 - click on Login link [[ChromeDriver: chrome on WINDOWS (b5b9d98daf8867e1f1b728a4608931a6)] -> xpath: //a[@class ='ico-login']]
2021-06-29 10:06:366 INFO  LoginPage :68 - Getting text from : [[ChromeDriver: chrome on WINDOWS (b5b9d98daf8867e1f1b728a4608931a6)] -> xpath: //div[@class='page-title']//h1]
2021-06-29 10:06:216 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 10:06:412 INFO  LoginPage :38 - click on Login link [[ChromeDriver: chrome on WINDOWS (9f85465b229b6e15b21b355287fc69da)] -> xpath: //a[@class ='ico-login']]
2021-06-29 10:06:558 INFO  LoginPage :44 - Enter Email [[ChromeDriver: chrome on WINDOWS (9f85465b229b6e15b21b355287fc69da)] -> xpath: //input[@id='Email']]
2021-06-29 10:06:670 INFO  LoginPage :49 - Enter Password [[ChromeDriver: chrome on WINDOWS (9f85465b229b6e15b21b355287fc69da)] -> xpath: //input[@id='Password']]
2021-06-29 10:06:790 INFO  LoginPage :54 - click on Login Button [[ChromeDriver: chrome on WINDOWS (9f85465b229b6e15b21b355287fc69da)] -> xpath: //button[@class ='button-1 login-button']]
2021-06-29 10:06:416 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 10:06:566 INFO  BasePage :33 - Launching Chrome Browser 
